run,type,entropy_0,entropy_1,entropy_2,entropy_3,entropy_4,entropy_5,entropy_6,entropy_7,entropy_8,entropy_9,entropy_10,entropy_11,entropy_12,entropy_13,entropy_14,entropy_15,entropy_16,entropy_17,entropy_18,entropy_19,entropy_20,entropy_21,entropy_22,entropy_23,entropy_24,entropy_25,entropy_26,entropy_27,entropy_28,entropy_29,entropy_30,entropy_31,entropy_32,entropy_33,entropy_34,entropy_35,entropy_36,entropy_37,entropy_38,entropy_39,entropy_40,entropy_41,entropy_42,entropy_43,entropy_44,entropy_45,entropy_46,entropy_47,entropy_48,entropy_49,entropy_50,entropy_51,entropy_52,entropy_53,entropy_54,entropy_55,entropy_56,entropy_57,entropy_58,entropy_59,entropy_60,entropy_61,entropy_62,entropy_63,entropy_64,entropy_65,entropy_66,entropy_67,entropy_68,entropy_69,entropy_70,entropy_71,entropy_72,entropy_73,entropy_74,entropy_75,entropy_76,entropy_77,entropy_78,entropy_79,entropy_80,entropy_81,entropy_82,entropy_83,entropy_84,entropy_85,entropy_86,entropy_87,entropy_88,entropy_89,entropy_90,entropy_91,entropy_92,entropy_93,entropy_94,entropy_95,entropy_96,entropy_97,entropy_98,entropy_99,entropy_100,entropy_101,entropy_102,entropy_103,entropy_104,entropy_105,entropy_106,entropy_107,entropy_108,entropy_109,entropy_110,entropy_111,entropy_112,entropy_113,entropy_114,entropy_115,entropy_116,entropy_117,entropy_118,entropy_119,entropy_120,entropy_121,entropy_122,entropy_123,entropy_124,entropy_125,entropy_126,entropy_127,entropy_128,entropy_129,entropy_130,entropy_131,entropy_132,entropy_133,entropy_134,entropy_135,entropy_136,entropy_137,entropy_138,entropy_139,entropy_140,entropy_141,entropy_142,entropy_143,entropy_144
1,lost,0,3,4.392317422778761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,won,0,3,3.700439718141092,0,2,1,1,0,0,0,1.584962500721156,1.584962500721156,1.584962500721156,3.169925001442312,4.754887502163468,4.754887502163468,6.339850002884624,5.169925001442312,4.169925001442312,4.169925001442312,3.584962500721156,3.584962500721156,4.169925001442312,2.584962500721156,2.584962500721156,2.584962500721156,2.584962500721156,2.584962500721156,2.584962500721156,2.584962500721156,3.584962500721156,3.584962500721156,3.584962500721156,3.584962500721156,3.584962500721156,3.584962500721156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,won,0,4.807354922057604,7.475733430966398,6.066089190457772,9.264442600226602,3.321928094887362,3.321928094887362,3.321928094887362,3.321928094887362,3.169925001442312,1.584962500721156,1.584962500721156,1.584962500721156,1.584962500721156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,won,0,3,3.700439718141092,4.459431618637297,4,5.392317422778761,6.754887502163468,8.044394119358454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,lost,0,5.807354922057604,6.321928094887363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,lost,0,3,3.700439718141092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,won,0,4.807354922057604,7.475733430966398,6.066089190457772,7.087462841250339,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,lost,0,5.807354922057604,8.049848549450562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,won,0,3,1.584962500721156,1.584962500721156,3.584962500721156,2.584962500721156,2.584962500721156,2,1,1,1,1,2.584962500721156,2,1,0,0,2,4,3,2,2,2,3.584962500721156,3.584962500721156,2,2,2.807354922057604,2.807354922057604,2.807354922057604,2.807354922057604,2.807354922057604,2.807354922057604,2.807354922057604,3.807354922057604,3.807354922057604,2.807354922057604,2.807354922057604,2.807354922057604,3.807354922057604,3.807354922057604,3.807354922057604,3.807354922057604,4.392317422778761,2.807354922057604,2.807354922057604,4.392317422778761,2.807354922057604,2.807354922057604,2.807354922057604,2.807354922057604,2.807354922057604,2.807354922057604,2.807354922057604,2.807354922057604,2.807354922057604,2.807354922057604,2.807354922057604,4.392317422778761,3.807354922057604,2.807354922057604,2.807354922057604,4.392317422778761,2.807354922057604,2.807354922057604,1,1,1,2.584962500721156,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,lost,0,3.169925001442312,4.754887502163468,3.321928094887362,4.906890595608519,4.643856189774724,6.22881869049588,7.491853096329675,6.169925001442312,6.169925001442312,6.169925001442312,6.754887502163468,7.491853096329675,7.491853096329675,7.491853096329675,7.491853096329675,8.29920801838728,8.29920801838728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
